title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,2022-05-10 23:06:00,6,green,Yes,1,762,us,1.505,mww,220,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,2022-04-21 07:42:00,6,green,Yes,1,762,us,0.914,mww,27,11.5538,-86.9919,"Masachapa, Nicaragua",North America,Nicaragua
M 7.0 - southeast of the Loyalty Islands,7,2022-03-31 05:44:00,6,green,Yes,1,763,us,2.705,mww,10,-22.5732,170.349,the Loyalty Islands,Oceania,New Caledonia
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,2022-03-30 20:56:00,6,green,Yes,1,738,us,2.697,mww,10,-22.72,170.277,"Tadine, New Caledonia",Oceania,New Caledonia
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,2022-03-22 17:41:00,8,green,Yes,1,806,us,0.289,mww,24,23.3421,121.636,"Hualien City, Taiwan",Asia,"Taiwan, Province of China"
"M 7.3 - 57 km ENE of Namie, Japan",7.3,2022-03-16 14:36:00,9,red,Yes,1,2397,us,2.936,mww,41,37.7015,141.587,"Namie, Japan",Asia,Japan
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,2022-03-13 21:09:00,9,green,No,0,708,us,2.188,mww,28,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia
"M 6.6 - Kermadec Islands, New Zealand",6.6,2022-03-02 12:52:00,2,green,Yes,1,670,us,0.827,mww,24,-30.0528,-177.74,"Kermadec Islands, New Zealand",Oceania,Tonga
M 6.8 - south of the Fiji Islands,6.8,2022-02-16 20:21:00,2,green,Yes,1,712,us,5.78,mww,535,-23.7852,-179.968,the Fiji Islands,Oceania,Tonga
"M 6.5 - 49 km NW of Barranca, Peru",6.5,2022-02-03 15:58:00,8,green,No,0,690,us,3.026,mww,110,-4.455,-76.9395,"Barranca, Peru",South America,Peru
M 6.5 - Kermadec Islands region,6.5,2022-01-29 02:46:00,7,green,Yes,1,651,us,1.088,mww,8,-29.535,-176.729,Kermadec Islands region,Oceania,Tonga
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,2022-01-14 09:05:00,8,green,No,0,785,us,2.418,mww,33,-6.9291,105.251,"Labuan, Indonesia",Asia,Indonesia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-01-11 12:39:00,0,,Yes,1,650,at,1.61607,Mi,37,52.502,-168.08,"Nikolski, Alaska",North America,United States
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-01-11 12:39:00,0,,Yes,1,650,pt,0,Mi,37,52.502,-168.08,"Nikolski, Alaska",North America,United States
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,2022-01-11 12:39:00,8,green,Yes,1,674,us,0.507,mww,19,52.6252,-168.15,"Nikolski, Alaska",North America,United States
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-01-11 11:35:00,0,,Yes,1,691,at,0.936943,Mi,33,52.48,-167.736,"Nikolski, Alaska",North America,United States
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-01-11 11:35:00,0,,Yes,1,691,pt,0,Mi,33,52.48,-167.736,"Nikolski, Alaska",North America,United States
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,2022-01-11 11:35:00,7,green,Yes,1,730,us,0.92,mww,20,52.6563,-167.917,"Nikolski, Alaska",North America,United States
"M 6.6 - 48 km WNW of PÃ³lis, Cyprus",6.6,2022-01-11 01:07:00,6,green,No,0,976,us,1.168,mww,21,35.1456,31.9095,"PÃ³lis, Cyprus",Asia,Cyprus
"M 6.6 - northern Qinghai, China",6.6,2022-01-07 17:45:00,9,orange,No,0,1012,us,2.685,mww,13,37.8167,101.299,"northern Qinghai, China",Asia,China
